"month","lat","n"
1965-11-01,0.5,2
1965-11-01,8,4
1965-11-01,8.5,66
1965-11-01,9,274
1965-11-01,9.5,596
1965-11-01,10,1056
1965-11-01,10.5,1392
1965-11-01,11,2204
1965-11-01,11.5,1174
1965-11-01,12,567
1965-11-01,12.5,248
1965-11-01,13,345
1965-11-01,13.5,1028
1965-11-01,14,936
1965-11-01,14.5,413
1965-11-01,15,424
1965-11-01,15.5,1314
1965-11-01,16,672
1965-11-01,16.5,443
1965-11-01,17,280
1965-11-01,17.5,502
1965-11-01,18,1268
1965-11-01,18.5,709
1965-11-01,19,1023
1965-11-01,19.5,803
1965-11-01,20,254
1965-11-01,20.5,93
1965-11-01,21,209
1965-11-01,21.5,363
1965-11-01,22,255
1965-11-01,22.5,1
1965-11-01,23,2
1965-11-01,27,1
1965-11-01,28,3
1965-11-01,135.5,2
1965-12-01,0,2
1965-12-01,0.5,4
1965-12-01,8,8
1965-12-01,8.5,4
1965-12-01,9,328
1965-12-01,9.5,755
1965-12-01,10,1428
1965-12-01,10.5,1833
1965-12-01,11,2250
1965-12-01,11.5,1075
1965-12-01,12,269
1965-12-01,12.5,220
1965-12-01,13,238
1965-12-01,13.5,1093
1965-12-01,14,962
1965-12-01,14.5,415
1965-12-01,15,431
1965-12-01,15.5,1415
1965-12-01,16,653
1965-12-01,16.5,363
1965-12-01,17,145
1965-12-01,17.5,327
1965-12-01,18,1118
1965-12-01,18.5,724
1965-12-01,19,514
1965-12-01,19.5,625
1965-12-01,20,315
1965-12-01,20.5,187
1965-12-01,21,578
1965-12-01,21.5,500
1965-12-01,22,214
1965-12-01,22.5,9
1966-01-01,0,2
1966-01-01,0.5,4
1966-01-01,8.5,58
1966-01-01,9,507
1966-01-01,9.5,939
1966-01-01,10,1158
1966-01-01,10.5,2106
1966-01-01,11,2559
1966-01-01,11.5,1385
1966-01-01,12,415
1966-01-01,12.5,98
1966-01-01,13,234
1966-01-01,13.5,410
1966-01-01,14,845
1966-01-01,14.5,382
1966-01-01,15,785
1966-01-01,15.5,2119
1966-01-01,16,848
1966-01-01,16.5,159
1966-01-01,17,255
1966-01-01,17.5,458
1966-01-01,18,575
1966-01-01,18.5,276
1966-01-01,19,303
1966-01-01,19.5,196
1966-01-01,20,176
1966-01-01,20.5,76
1966-01-01,21,411
1966-01-01,21.5,478
1966-01-01,22,216
1966-01-01,22.5,4
1966-02-01,0.5,6
1966-02-01,1,1
1966-02-01,6.5,2
1966-02-01,7,1
1966-02-01,8.5,4
1966-02-01,9,257
1966-02-01,9.5,658
1966-02-01,10,893
1966-02-01,10.5,1631
1966-02-01,11,2378
1966-02-01,11.5,1054
1966-02-01,12,235
1966-02-01,12.5,184
1966-02-01,13,566
1966-02-01,13.5,294
1966-02-01,14,586
1966-02-01,14.5,576
1966-02-01,15,1007
1966-02-01,15.5,996
1966-02-01,16,1082
1966-02-01,16.5,389
1966-02-01,17,260
1966-02-01,17.5,136
1966-02-01,18,254
1966-02-01,18.5,131
1966-02-01,19,167
1966-02-01,19.5,126
1966-02-01,20,84
1966-02-01,20.5,43
1966-02-01,21,35
1966-02-01,21.5,59
1966-02-01,22,16
1966-02-01,22.5,1
